source_id,source_type,product_version,title,contract_or_adr,delivery_slice,code_location,acceptance_or_test,evidence,status,notes
D-18,Owner Decision,V1,Reset product/delivery baseline,V1_PRODUCT_CONTRACT;DR-0003,SLICE-V1-001,docs/00-governance/DR-0003-v1-product-delivery-baseline-reset.md,,,CONTRACT_DEFINED,Old Phase/WP plan superseded as active execution authority
D-19,Owner Decision,V1,All-domain decision plus selective dual-platform execution,V1_PRODUCT_CONTRACT;ADR-0008,SLICE-V1-001,docs/03-work-items/SLICE-V1-001-sku-growth-profit-diagnostic-loop.md,,,CONTRACT_DEFINED,PRICE_CHANGE first; Gate EV required before evidence write and Gate E required before controlled Pilot
D-20,Owner Decision,V1,"Deterministic Truth, AI Intelligence",V1_PRODUCT_CONTRACT;ADR-0007,SLICE-V1-001,docs/02-architecture/V1_AI_DATA_AND_EXECUTION_BOUNDARY.md,,,CONTRACT_DEFINED,AI analyzes/recommends; no fact or authorization authority
D-21,Owner Decision,V1,"Single-entity internal facts, FBO/FBS and Contribution Profit",V1_PRODUCT_CONTRACT,SLICE-V1-001,docs/01-requirements/V1_PRODUCT_CONTRACT.md,,,CONTRACT_DEFINED,Manual plus Excel/CSV intake
D-22,Owner Decision,V1,Production Slices and Contract-governed Vibe Coding,ADR-0005;ADR-0006,SLICE-V1-001,docs/00-governance/AI_OPERATING_MODEL.md,,,CONTRACT_DEFINED,Conditional Design Gate
D-23,Owner Decision,V1,Yandex primary; OIDC/MFA; PII boundary,ADR-0007,SLICE-V1-001,docs/02-architecture/adr/ADR-0007-v1-infrastructure-identity-ai-provider-boundary.md,,,CONTRACT_DEFINED,Exact provider setup requires evidence
D-24,Owner Decision,V1,Slice release and Pilot Capability enablement,ADR-0005;ADR-0008;SLICE-V1-001-AMENDMENT-002,SLICE-V1-001,docs/05-testing/V1_PRODUCTION_ASSURANCE_MATRIX.md,,docs/03-work-items/SLICE-V1-001-AMENDMENT-002-DEFERRED-REAL-INTEGRATION-AND-PREPRODUCTION-ASSURANCE.md;docs/08-handoffs/OWNER-SLICE-V1-001-AMENDMENT-002-ACCEPTANCE-EVIDENCE.md,CONTRACT_DEFINED,Merge is not enablement; exact Amendment-002 external/Owner/Gate evidence remains production-blocking in RELEASE-V1-001
D-25,Owner Decision,V1,DR-0004 engineering execution and closure protocol,DR-0004;DR-0004-AMENDMENT-001,SLICE-V1-001,docs/00-governance/DR-0004-AMENDMENT-001-activation-and-owner-acceptance-provenance.md;docs/08-handoffs/OWNER-DR-0004-ACCEPTANCE-EVIDENCE.md,D4-AC-001;D4-AC-009,docs/08-handoffs/FROZEN-FINDING-SET-DR0004-PR19-R1.md,CONTRACT_DEFINED,No V1 Product scope change and no SLICE-V1-001 scope change
OD-S2-001,Owner Decision,V1,Prevent profitable SKU stockouts and prioritize replenishment response,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/main/java/com/mimococo/marketops/availabilityrisk,S2-AC-011;S2-AC-012,docs/07-phase-evidence/SLICE-V1-002/acceptance-status.md,IMPLEMENTING,Deterministic risk and accountable response only; Controller closure pending
OD-S2-002,Owner Decision,V1,End at a prioritized Stockout Risk Queue,SLICE-V1-002,SLICE-V1-002,frontend/marketops-console/src/availability;backend/marketops-server/src/main/java/com/mimococo/marketops/availabilityrisk,S2-AC-011;S2-AC-077,docs/07-phase-evidence/SLICE-V1-002/executable-evidence.md,IMPLEMENTING,Grouped queue and drill-through locally verified
OD-S2-003,Owner Decision,V1,Deterministic blended priority policy,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/main/java/com/mimococo/marketops/availabilityrisk/internal/domain/PriorityPolicy.java,S2-AC-047;S2-AC-048,docs/07-phase-evidence/SLICE-V1-002/V0034-root-cause-rework-evidence.md,IMPLEMENTING,Effective-dated priority identity is included in the digest
OD-S2-004,Owner Decision,V1,Grouped Variant card with separate Channel and Company risks,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/main/java/com/mimococo/marketops/availabilityrisk/internal/application/AvailabilityProjectionWriter.java,S2-AC-012;S2-AC-013;S2-AC-014,docs/07-phase-evidence/SLICE-V1-002/acceptance-status.md,IMPLEMENTING,Neither child can clear the other
OD-S2-005,Owner Decision,V1,Ownership-aware current stock plus high-confidence time-phased inbound,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/main/java/com/mimococo/marketops/availabilityrisk/internal/domain/CompanyRiskCalculator.java,S2-AC-015;S2-AC-018;S2-AC-019;S2-AC-020,docs/07-phase-evidence/SLICE-V1-002/V0034-root-cause-rework-evidence.md,IMPLEMENTING,Future supply is applied only at its eligible arrival instant
OD-S2-006,Owner Decision,V1,Evidence-backed role-scoped Product and Procurement inbound attestation,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/main/java/com/mimococo/marketops/availabilityrisk/internal/application/InboundAttestationService.java,S2-AC-021;S2-AC-022;S2-AC-023;S2-AC-024,docs/07-phase-evidence/SLICE-V1-002/executable-evidence.md,IMPLEMENTING,Create amend reverify cancel and audit are local synthetic evidence
OD-S2-007,Owner Decision,V1,Tiered Settled to Operational profit Gate with Confidence lanes,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/main/java/com/mimococo/marketops/availabilityrisk/internal/application/ProfitLaneResolver.java,S2-AC-041;S2-AC-042;S2-AC-043,docs/07-phase-evidence/SLICE-V1-002/V0034-root-cause-rework-evidence.md,IMPLEMENTING,Fresh nonpositive Settled profit is decisive
OD-S2-008,Owner Decision,V1,Versioned scoped lead-time and safety policy with fallback,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/main/java/com/mimococo/marketops/availabilityrisk/internal/infrastructure/jdbc/AvailabilityPolicyRepository.java,S2-AC-036;S2-AC-037;S2-AC-038,docs/07-phase-evidence/SLICE-V1-002/acceptance-status.md,IMPLEMENTING,Missing overlap and conflict fail closed
